timestamp,commit,pr,scope,files,additions,deletions,net_loc,status
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 1,HTTP polling generated update size guard,2,181,19,162,fix branch exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 10,CRDT block reconciliation foundation,2,145,4,141,start CRDT stack
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 11,Explicit-base top-level block operations,2,1190,16,1174,stacked CRDT review unit
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 12,Previous-local-cache top-level block operations,2,833,6,827,stacked CRDT review unit
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 13A,Observed-delete top-level provenance,2,1171,21,1150,repaired/source-verified head exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 13B,Cross-parent source retirement,2,1687,0,1687,repaired/source-verified head exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 13C,Stale block identity smear guard,2,470,39,431,repaired/source-verified head exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 14,Table body nested array merge,2,294,18,276,fix branch exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 15,Fallback group residual structural fixes,2,481,12,469,keep reload-hydration gate spec out
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 2,HTTP polling storage read window,2,57,5,52,fix branch exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 3,Revision restore CRDT meta reset,2,58,5,53,fix branch exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 4,Persisted CRDT save-meta idempotence,2,160,1,159,fix branch exists
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 5,Parser/entity normalization equivalence,4,1680,68,1612,split if reviewers prefer
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 6,Save request payload guards,4,738,6,732,does not claim browser-only gates
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 6A,Persisted empty-content CRDT body guard,2,64,1,63,narrow persisted-body guard
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 7A,Save response entity-state guards,2,1339,8,1331,actions-side response guard
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 7B,Save response manager/base-record guards,5,404,8,396,stacked on PR 7A
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 8,Reload title and persisted-record hydration,11,618,61,557,compare with `try/rtc-title-reload-pr`; does not claim empty-live-editor
2026-05-16T03:58:19Z,f6cfe1eb9f12443c0c3be7262eca6096aaa93214,PR 9,Core-data lock fairness,2,185,2,183,fix branch exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 1,HTTP polling generated update size guard,2,181,19,162,fix branch exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 10,CRDT block reconciliation foundation,2,145,4,141,start CRDT stack
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 11,Explicit-base top-level block operations,2,1190,16,1174,stacked CRDT review unit
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 12,Previous-local-cache top-level block operations,2,833,6,827,stacked CRDT review unit
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 13A,Observed-delete top-level provenance,2,1171,21,1150,repaired/source-verified head exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 13B,Cross-parent source retirement,2,1687,0,1687,repaired/source-verified head exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 13C,Stale block identity smear guard,2,470,39,431,repaired/source-verified head exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 14,Table body nested array merge,2,294,18,276,fix branch exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 15,Fallback group residual structural fixes,2,481,12,469,keep reload-hydration gate spec out
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 2,HTTP polling storage read window,2,57,5,52,fix branch exists
2026-05-16T04:02:20Z,7b7f7b56ce19d7f53fbad459b6ff3c8d7514f08d,PR 3,Revision restore CRDT meta reset,2,58,5,53,fix branch exists
