job_id,lane_id,blocker_id,action_kind,dedupe_key,resource_class,priority,state,attempt,session,worktree,output_dir,created_at,started_at,updated_at,exit_code,result
job-pr17-1020002,pr17-1020002,pr17-1020002,proof-reclassify,pr17-1020002-proof,codex-analysis,high,held,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/pr17-1020002,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,held_by_benchmark_product_failure
job-pr07c-owner-matrix,pr07c-owner-matrix,pr07c-owner-matrix,owner-matrix,pr07c-owner-matrix,browser-e2e,high,terminal,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/pr07c-owner-matrix,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,progress_controller_runtime_held
job-benchmark-canary-fuzzer-gap,benchmark-canary-fuzzer-gap,benchmark-canary-fuzzer-gap,exact-stack-repair,benchmark-canary-fuzzer-gap,codex-analysis,high,active,0,rtc-critical-continuation-benchmark-canary-fuzzer-gap-20260710T153450Z,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/benchmark-canary-fuzzer-gap,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,exact_stack_repair_active
job-benchmark-canary-repair-branch-adoption,benchmark-canary-repair-branch-adoption,benchmark-canary-repair-branch-adoption,repair-branch-adoption,benchmark-canary-repair-branch-adoption,codex-analysis,high,active,0,rtc-critical-continuation-benchmark-canary-repair-branch-adoption-20260710T153454Z,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/benchmark-canary-repair-branch-adoption,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,repair_branch_adoption_active
job-benchmark-canary-product-failure,benchmark-canary-product-failure,benchmark-canary-product-failure,product-repair,benchmark-canary-product-failure,codex-analysis,high,active,0,rtc-critical-continuation-benchmark-canary-product-failure-20260710T153138Z,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/benchmark-canary-product-failure,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,product_failure_repair_active
job-productive-analysis-action,productive-analysis-action,productive-analysis-action,control-feedback,productive-analysis-action,codex-analysis,high,runnable,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/productive-analysis-action,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,pending
job-pa-exact-benchmark-canary-product-failure,pa-exact-benchmark-canary-product-failure,pa-exact-benchmark-canary-product-failure,repair-or-downscope,pa-exact-benchmark-canary-product-failure,codex-analysis,high,active,0,rtc-critical-continuation-pa-exact-benchmark-canary-product-failure-20260710T150805Z,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/pa-exact-benchmark-canary-product-failure,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,adopted
job-pa-exact-benchmark-canary-novelty-http-existing-post-crdt-metadata,pa-exact-benchmark-canary-novelty-http-existing-post-crdt-metadata,pa-exact-benchmark-canary-novelty-http-existing-post-crdt-metadata,repair-or-downscope,pa-exact-benchmark-canary-novelty-http-existing-post-crdt-metadata,codex-analysis,high,runnable,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/pa-exact-benchmark-canary-novelty-http-existing-post-crdt-metadata,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,pending
job-reload-hydration,reload-hydration,reload-hydration,exact-stack-proof,reload-hydration,codex-analysis,high,terminal,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/reload-hydration,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,manifest_adopted
validate-repair-branch-repair-benchmark-canary-empty-crdt-invalidation-20260710,repair-branch-repair-benchmark-canary-empty-crdt-invalidation-20260710,branch-export-repair-branch-repair-benchmark-canary-empty-crdt-invalidation-20260710,validate-export,validate-repair-branch-repair-benchmark-canary-empty-crdt-invalidation-20260710,git-export,medium,queued,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/branch-validation/repair-branch-repair-benchmark-canary-empty-crdt-invalidation-20260710,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,pending
validate-repair-branch-repair-pa-exact-benchmark-canary-product-failure-aggrega,repair-branch-repair-pa-exact-benchmark-canary-product-failure-aggrega,branch-export-repair-branch-repair-pa-exact-benchmark-canary-product-failure-aggrega,validate-export,validate-repair-branch-repair-pa-exact-benchmark-canary-product-failure-aggrega,git-export,medium,queued,0,,NA,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/branch-validation/repair-branch-repair-pa-exact-benchmark-canary-product-failure-aggrega,2026-07-10T15:42:40Z,NA,2026-07-10T15:42:40Z,,pending
